Menu Level|Menu place|MENU- number|Label|Function type|Module|Function code|Function name|Program Class|Deny usage|Token code
0|0|0||1|Syst/ukayt.p|users|User file, update|9999|no|SYST
0|0|0||1|Syst/uvaliv6.p|menutree|UPDATE MENUTREE|9999|no|SYST
0|0|0||1|Syst/usearch.p|find|Find a program module|9999|no|SYST
0|0|0||1|Syst/nnpcyp.p|class|Update Program Classes|9999|no|SYST
0|0|0||1|Syst/nnuryp.p|right|Update Users' rights|9999|no|SYST
0|0|0||1|Syst/cparam.p|cparam|Company parameters|9999|no|SYST
0|0|0||1|Mc/invseq.p|invseq|Invoice Sequences|9999|no|SYST
0|0|0||1|Syst/cparam.p|tmsparam||9999|no|SYST
0|0|0||1|Mc/orderfunction.p|orderf||9999|no|MAIN
0|0|9013| |1|Inv/billtest.p|if-bt|Billing Tests|9999|no|BILL
0|0|1994|DUMPFILE RUN|1|Syst/dumpfile_ui.p|run_df|Create Dump File|9999|no|SYST
0|0|1996|OFFER |1|Mc/offer_start.p|offer|Offer Maintenance|9999|no|VENDOR
0|0|0||1|Syst/umenu.p|umenu|Maintain menu texts|9999|no|SYST
0|0|984|LOCAL INVOICE|1|Inv/nnlaki.p|if-pp|Print invoices on printer or file|9999|no|VENDOR
0|0|1004|DIRECT DEBIT|2||cu-dd|Direct Debit Authorizations|9999|no|VENDOR
0|0|1023|MONTHLY STATUS|1|Mc/monstatl.p|mo-stat|Monthly Status Report|9999|no|SYST
0|0|0||1|Mm/mobcallbr_special.p|cdr-haku|Get cdrs|9999|no|MOB
0|1|1||2||-|TMS MASTER|9999|no|SYST
0|1|9001|ROAMING |2||roam-|Roaming functions|9999|no|VENDOR
0|2|9809|REQ STAT FUNCTION|1|Mc/maintmenu.p|maintm|Maintenance menu|9999|no|CCSUPER
0|3|9010|ROAM COUNTRY|1|Mm/roamcountry.p|ad-coun|Roaming country|9999|no|CCSUPER
0|4|9008|ROAM GROUP|1|Mm/roamgroup.p|ad-grp|Roaming groups|9999|no|CCSUPER
0|4|1825|INV STAT REPORT|1|Mm/billstat.p|if-srep|STATUS REPORT|9999|no|BILL
0|4|1456|XML MULTIRUN|1|Inv/invoice_xml_multi.p|xmlmulti|XML Multirun|9999|yes|VENDOR
0|5|570|CURRENCY RATES|1|Mc/currate.p|ad-cura|Currency rates|9999|no|CCSUPER
0|5|1166|BILLING MULTIRUN|1|Inv/invrun_multi.p|inv-mrun|Create Invoices In Multirun Mode|9999|no|SYST
0|7|804|INVOICE REPORT|1|Inv/invrep.p|if-rep|Print invoices Specification|9999|no|BILL
0|7|9009|ROAMING TARIFFS|1|Mm/roamtarifflistc.p|ad-tar|Roaming Tariffs|9999|no|CCSUPER
1|1|51|BASIC FILES|2||bf-|BASIC FILES|9999|no|SYST
1|2|788|CUSTOMER DATA|2||cu-|CUSTOMER DATA|9999|no|CC
1|3|260|MOBILE DATA|2||md-|Mobile Subscriber Data|9999|no|MOB
1|4|9000|ADMIN FUNCTION|2||admin|ADMIN FUNCTIONS|9999|no|CCSUPER
1|5|737|INVOIC- ING|2||if-|INVOICING FUNCTIONS|9999|no|SYST
1|6|820|ACCOUNTS REC'VBLE|2||ar-|ACCOUNTS RECEIVABLE|9999|no|SYST
1|7|728|SUPPORT FUNCTION|2||su-|SUPPORT FUNCTIONS|9999|no|MOB
1|8|3|QUIT |3|**** SOVELLUKSEN LOPETUS ***|||9999|no|MAIN
11|1|14|UPDATE FILES|2||bf-upd|UPDATE BASIC FILES|9999|no|CCSUPER
11|2|877|RATING DATA|2||bf-rd|RATING DATA|9999|no|MAIN
11|5|42|PRINT- OUTS|2||bf-pr|PRINTOUTS FROM BASIC FILES|9999|no|MAIN
11|7|1652|SALES |2||sales|SALES DATA|9999|no|MAIN
11|8|8|RETURN |3||||9999|no|MAIN
111|2|754|BILLING ITEMS|2||bf-pro|Products|9999|no|MAIN
111|3|750|CCN |1|Mc/nnmayp.p|ccn|CCNs|9999|no|MAIN
111|4|602|B- NUMBERS|1|Mc/nnbtyp.p|bf-bs|B-sub/service number file|9999|no|MAIN
111|6|814|TRANSL. NAMES|1|Mc/invlangm.p|bf-fn|Foreign names for products etc.|9999|no|MAIN
111|7|591|CURRENC- IES|2||bf-curr|Currencies|9999|no|CCSUPER
111|8|8|RETURN |3||||9999|no|MAIN
1112|1|754|BILLING ITEMS|1|Mc/nntuyp.p|bf-pd|Product file|9999|no|MAIN
1112|2|974|BITEM GROUPS|1|Mc/nnpgyp.p|bf-pg|Product groups|9999|no|MAIN
1112|3|1113|INVOICE SECTIONS|1|Mc/invsect.p|if-is|Invoice Sections, update|9999|no|MAIN
1112|4|999|TAX CODES|1|Mc/vatcode.p|cu-vc|Update VAT codes|9999|no|CC
1112|5|295|FEE MODEL|1|Mc/bevent.p|rf-be|Billing Events|9999|no|MAIN
1112|6|1869|BILLITEM RULES|1|Mc/billitemrule_run.p|birule|Billing Item Rules|9999|no|MAIN
1112|8|8|RETURN |3||||9999|no|MAIN
1117|1|592|CURRENCY CODES|1|Mc/nncuyp.p|bf-cuco|Currencies (codes & names)|9999|no|MAIN
1117|2|570|CURRENCY RATES|1|Mc/currate.p|cur-rate|Currency Rates|9999|no|MOB
1117|8|8|RETURN |3||||0|no|MAIN
112|1|51|BASIC FILES|2||rd-ba|Basic Data of Rating|9999|no|MAIN
112|2|1722|RATING PLANS|1|Mc/rateplan.p|rd-rp|Rating plan|9999|no|MAIN
112|3|234|DISCOUNT PLANS|1|Mc/discountplan.p|rd-dp|DISCOUNT PLANS|9999|no|MAIN
112|4|878|RATES |1|Mc/tariffc.p|rd-rate|Rates, update|9999|no|MAIN
112|6|1753|CAMPAIGN |2||rd-camp|Campaigns|9999|no|CC
112|7|555|MORE ... |2||rd-more|MORE|9999|no|MAIN
112|8|8|RETURN |3||||9999|no|MAIN
1121|1|876|PRICE LISTS|1|Mc/nnplyp.p|rd-pl|Price list file, update|9999|no|MAIN
1121|2|1161|DIALLING TYPES|1|Mc/dialtype.p|rd-ct|Dialling types|9999|no|MAIN
1121|3|1791|RATING PREFIXES|1|Mc/ratepref.p|rd-pref|Rating Prefix Configuration|9999|no|MAIN
1121|8|8|RETURN |3||||9999|no|MAIN
1126|1|1753|CAMPAIGN |1|Mc/campaign.p|cm-ca|Campaigns|9999|no|CC
1126|3|1756|CAMPAIGN RUN|1|Mc/camprunui.p|cm-run|Campaign Run|9999|no|CC
1126|4|1754|CAMPAIGN STATIST.|1|Mc/campstac.p|cm-stat|Campaign Statistics|9999|no|CC
1126|8|8|RETURN |3||||9999|no|CC
1127|1|994|B-NUMBER PRICES|1|Mc/nnbnrp.p|rd-bpr|B-numbers with prices, spreadsheet|9999|no|MAIN
1127|3|970|CHANGE RATES|1|Mc/nnhimu.p|rd-ch|Change rates|9999|no|MAIN
1127|8|8|RETURN |3||||0|no|MAIN
114|8|8|RETURN |3||||9999|no|MAIN
115|2|9810|SHOW SUBINV|1|Mm/bitem_raport.p||billing item raport|9999|no|MAIN
115|4|810|PRICE- LIST|1|Mc/nnhilu.p|bf-ppl|Price Lists, printout|9999|no|MAIN
115|6|809|CUSTOMER LISTS|1|Mc/nnalky.p|bf-pcu|Customer lists, printout|9999|no|MAIN
115|8|8|RETURN |3||||9999|no|MAIN
116|8|8|RETURN |3||||9999|no|MAIN
117|1|1662|SALES CHAIN|1|Mc/saleschain.p|salesch|Sales Chains|9999|no|BILL
117|2|952|RESELLER |1|Mc/nnrsyp.p|bf-rs|Reseller file update|9999|no|MAIN
117|3|756|SALESMEN |1|Mc/nnsmyp2.p|bf-sm|Salesman file update|9999|no|MAIN
117|4|1663|SALES EVENT|1|Mc/run_salesevent.p|saleseve|Sales Events|9999|no|BILL
117|5|1666|SUBVENT EVENTS|1|Mc/subventionbrowser.p|subevent|Subvention Browser|9999|no|COMM
117|8|8|RETURN |3||||9999|no|MAIN
12|1|526|RELATED FILES|2||cu-rf|CUSTOMER-RELATED FILES|9999|no|SYST
12|2|710|CUSTOM- ERS|1|Mc/customerbr.p|cu-cu|Customer file, update|9999|no|CCSUPER
12|3|1788|CUSTOMER GROUPS|2||cu-group|CUSTOMERS GROUP|9999|no|SYST
12|5|735|CALL REPORTS|2||cu-cr|Call Reports|9999|no|VENDOR
12|6|1841|CUSTOMER SEARCH|1|Mc/customer_search_rep_ui.p|cusearch|Customer Search Report|9999|no|SYST
12|7|565|OTHER PRINTOUT|2||cuorep|Other Customer Reports|9999|no|CC
12|8|8|RETURN |3||||9999|no|CC
121|1|787|CUSTOMER CATEGORY|1|Mc/nnkayp.p|cu-cc|Customer category file, update|9999|no|CC
121|2|558|CUSTOMER CLASS|1|Mc/custclass.p|cu-class|custclass|9999|no|CC
121|3|1513|COUNTRY |1|Mc/country.p|cu-co|Countries|9999|no|CC
121|4|1095|NATION- ALITIES|1|Mc/nationality.p|cu-nat|Nationalities|9999|no|CC
