Table Name|Field Name|Group|Value|Description|Used|Configuration Value|Memo
account|AccType|Accounts|1|Account Receivable|Yes||
account|AccType|Accounts|10|Reminder Fee|No ||
account|AccType|Accounts|11|Collection Fee|No ||
account|AccType|Accounts|12|Revenue (Common)|Yes||
account|AccType|Accounts|13|Sales Cost|No ||
account|AccType|Accounts|14|Interest|Yes||
account|AccType|Accounts|15|Clearing|No ||
account|AccType|Accounts|16|Direct Cost Account|No ||
account|AccType|Accounts|17|Report Account|No ||
account|AccType|Accounts|18|Doubtful A/R|Yes||
account|AccType|Accounts|19|Advance Payment|Yes||
account|AccType|Accounts|2|Investigation Account|No ||
account|AccType|Accounts|20|Top up balance|No ||
account|AccType|Accounts|21|Compensation|No ||
account|AccType|Accounts|22|Refund balance|No ||
account|AccType|Accounts|23|Customer relationship Costs|No ||
account|AccType|Accounts|24|Own usage costs|Yes||
account|AccType|Accounts|3|Unregistered Accounts receivable|No ||
account|AccType|Accounts|30|Accounts payable|Yes||
account|AccType|Accounts|32|Sales expenses|Yes||
account|AccType|Accounts|4|Payment|Yes||
account|AccType|Accounts|5|TAX|Yes||
account|AccType|Accounts|6|Overpayment|Yes||
account|AccType|Accounts|7|Deposit|No ||
account|AccType|Accounts|8|Rounding|Yes||
account|AccType|Accounts|9|Discounts|Yes||
AckMessage|AckStatus|Request|0|Waiting for sending|Yes||
AckMessage|AckStatus|Request|2|Sent|Yes||
AckMessage|AckStatus|Request|3|Error occurred|Yes||
ActionLog|ActionStatus|Log|0|Active|Yes||
ActionLog|ActionStatus|Log|1|Ended on error|Yes||
ActionLog|ActionStatus|Log|2|Ended succesfully|Yes||
ActionLog|ActionStatus|Log|3|Logged|Yes||
ActionLog|ActionStatus|Log|5|Cancelled|Yes||
Address|AddressType|Address|DEF|Default address|Yes||
BDest|BDestClass|Analysis|1|Normal|Yes||
BDest|BDestClass|Analysis|2|Free|Yes||
BDest|BDestClass|Analysis|3|Emergency|Yes||
BDest|BDestClass|Analysis|4|PremRate (Pre-rated)|Yes||
BDest|BDestClass|Analysis|5|PremRate with mpm|Yes||
BDest|BDestClass|Analysis|6|Premrate without mpm|Yes||
Bdest|BdestClass|Analysis|7|Tariff class -based rating|Yes||
BDest|BDestClass|Analysis|99|TMS rating class|Yes||
Bdest|BdestType|Analysis|0|National|Yes||
Bdest|BdestType|Analysis|1|International|Yes||
BDest|BdestType|Analysis|2|Freephone|Yes||
Bdest|BdestType|Analysis|5|Mobile|Yes||
Bdest|BdestType|Analysis|?|Not defined|Yes||
BillItem|DebtType|AR|ADD|3rd party additional services|Yes||
BillItem|DebtType|AR|COM|Commissions|Yes||
BillItem|DebtType|AR|DEV|Device charges|Yes||
BillItem|DebtType|AR|GEN|General charges|Yes||
BillItem|DebtType|AR|SEC|Security services|Yes||
BillItem|DebtType|AR|SER|Value added service charges|Yes||
BillItem|DebtType|AR|SUB|Subventions|Yes||
BillItem|DebtType|AR|TEL|Telecom service charges|Yes||
BillItemRule|RuleType|Report|DataTotalUse|Include to data usage summary|Yes||
BillItemRule|RuleType|Report|ETCIR|Event type charge as invoice row|Yes||
BillItemRule|RuleType|Report|HideZeroIR|Hide zero amount invoice row in specifications|Yes||
BillItemRule|RuleType|Report|PulsesOnIR|Pulses as unit on invoice row|Yes||
BillItemRule|RuleType|Report|ServChargeIR|Service charge as invoice row|Yes||
BillItemRule|RuleType|Report|StartChargeIR|Starting charge as invoice row|Yes||
CallAlarm|CreditType|SMS|1|CreditLimit for customer|Yes||
CallAlarm|CreditType|SMS|10|Periodical contract activation / termination|Yes||
CallAlarm|CreditType|SMS|11|Service change|Yes||
CallAlarm|CreditType|SMS|12|MNP|Yes||
CallAlarm|CreditType|SMS|13|Service attribute change|Yes||
CallAlarm|CreditType|SMS|14|Saldo payment|Yes||
CallAlarm|CreditType|SMS|15|User / inv.customer change|Yes||
CallAlarm|CreditType|SMS|16|User account change|Yes||
CallAlarm|CreditType|SMS|17|Periodical contract PIN order|Yes||
CallAlarm|CreditType|SMS|18|Periodical contract continuation|Yes||
CallAlarm|CreditType|SMS|19|Periodical contract period end warning|Yes||
CallAlarm|CreditType|SMS|2|Saldo reminder|Yes||
CallAlarm|CreditType|SMS|20|Owner change|Yes||
CallAlarm|CreditType|SMS|22|TOPUP|No ||
CallAlarm|CreditType|SMS|23|Price Guarantee|No ||
CallAlarm|CreditType|SMS|24|Barring|Yes|1|
CallAlarm|CreditType|SMS|25|SMS Report|Yes||
CallAlarm|CreditType|SMS|28|Additional data package|Yes||
CallAlarm|CreditType|SMS|3|Saldo Agreement|Yes||
CallAlarm|CreditType|SMS|40|Corporate Welcome SMS|Yes||
CallAlarm|CreditType|SMS|41|After Sales Order|Yes||
CallAlarm|CreditType|SMS|42|Prepaid MINCONS|Yes|8|
CallAlarm|CreditType|SMS|43|Logistics|Yes||
CallAlarm|CreditType|SMS|44|SMS invoice|Yes|3|
CallAlarm|CreditType|SMS|5|SMS reminder|Yes||
CallAlarm|CreditType|SMS|6|CLI type change|Yes||
CallAlarm|CreditType|SMS|66|Debt lock|Yes||
CallAlarm|CreditType|SMS|7|Invoice printed|Yes||
CallAlarm|CreditType|SMS|71|Invoice due date reminder|Yes||
CallAlarm|CreditType|SMS|8|Direct Debit|Yes||
CallAlarm|CreditType|SMS|9|Info|Yes||
CallAlarm|DeliStat|SMS|1|NEW|Yes||
CallAlarm|DeliStat|SMS|2|FAIL|Yes||
CallAlarm|DeliStat|SMS|3|Delivered OK|Yes||
CallAlarm|DeliStat|SMS|4|Cancelled|Yes||
CallAlarm|MessageCategory|SERVCHANGE|11|Service and Additional service|Yes||
CallAlarm|MessageCategory|CREDCONTROL|2|Credit Control|Yes||
CallAlarm|MessageCategory|DEBTCOLLECT|24|Debt ColDebt Collection|Yes||
CallAlarm|MessageCategory|BILLING|71,7,5|Billing|Yes||
CallAlarm|MessageCategory|INTERNAL|9|Internal messages|Yes||
CallLimit|DeliType|DeliType|1|SMS|Yes||
CallLimit|DeliType|DeliType|2|E-Mail|Yes||
CallLimit|Delitype|delitype|3|EPL-letter|Yes||
CallLimit|DeliType|DeliType|4|KKI|Yes||
CallLimit|DeliType|DeliType|5|BIX|Yes||
CampRow|CRowType|Campaign|1|PriceList|Yes||
CampRow|CRowType|Campaign|2|DiscPlan|Yes||
CampRow|CRowType|Campaign|3|Fatime|Yes||
CampRow|CRowType|Campaign|4|FeeModel|Yes||
CampRow|CRowType|Campaign|5|TopUp|Yes||
CLIType|PayType|MobSub|0|Not defined|No ||
CLIType|PayType|MobSub|1|Postpaid|Yes||
CLIType|PayType|MobSub|2|Prepaid|No ||
CliType|ServicePack|Profile|1|VOICE Postpaid|Yes||
CliType|ServicePack|Profile|2|Prepaid|No ||
CliType|ServicePack|Profile|3|Prepaid (no calls yet)|No ||
CliType|ServicePack|Profile|4|DATA Postpaid|Yes||
CliType|ServicePack|Profile|40|Profile 40|No ||
Commission|CommCalcType|Commission|Rate|Rate based calculation|Yes||
Commission|CommCalcType|Commission|Revenue|Revenue based calculation|Yes||
CommissionLog|RejectReason|Commission|COMR1|No valid dealer class|Yes||
CommissionLog|RejectReason|Commission|COMR10|Unpaid debt|Yes||
CommissionLog|RejectReason|Commission|COMR11|Billed amount under limit|Yes||
CommissionLog|RejectReason|Commission|COMR12|No active rate|Yes||
CommissionLog|RejectReason|Commission|COMR2|No active contract|Yes||
CommissionLog|RejectReason|Commission|COMR3|Ongoing experiment period|Yes||
CommissionLog|RejectReason|Commission|COMR4|No active main contract|Yes||
CommissionLog|RejectReason|Commission|COMR5|Main contract activity period|Yes||
CommissionLog|RejectReason|Commission|COMR6|Suspended|Yes||
CommissionLog|RejectReason|Commission|COMR7|No active rule|Yes||
CommissionLog|RejectReason|Commission|COMR8|Basic commission rule not fulfilled|Yes||
CommissionLog|RejectReason|Commission|COMR9|Control point in the future|Yes||
CommissionRate|CommAction|Commission|CustTempBarrTerm|Deactivation of temporary suspension|Yes||
CommissionRate|CommAction|Commission|SIMChange|SIM card change|Yes||
CommissionRate|CommAction|Commission|STC|Subscription type change|Yes||
CommissionRate|RateType|Commission|Fixed|Fixed amount|Yes||
CommissionRate|SalesChannel|Commission|ExternalCM|External CM|Yes||
CommissionRate|SalesChannel|Commission|POS|Point of sales|Yes||
CommissionRate|SalesChannel|Commission|TeleSales|Telesales|Yes||
CommissionRate|SalesChannel|Commission|WebShop|Web shop|Yes||
CommissionRate|SalesType|Commission|Addition|Existing subscription|Yes||
CommissionRate|SalesType|Commission|Migration|Current 'Pink' customer|Yes||
CommissionRate|SalesType|Commission|New|New customer|Yes||
CommissionRule|CommClass|Commission|ADealer|Class A|Yes|RATE|
CommissionRule|CommClass|Commission|CDealer|Class C|Yes|RATE|
CommissionRule|CommClass|Commission|FDealer|Class F|Yes|RATE|
CommissionRule|CommClass|Commission|RDealer|Class R|Yes|REVENUE|
CommissionRule|CommClass|Commission|SDealer|Class S|Yes|RATE|
CommissionRule|CommType|Commission|AdditData|Data subscription additional|Yes||
CommissionRule|CommType|Commission|AdditHybrid|Hybrid subscription additional|Yes||
CommissionRule|CommType|Commission|AdditService|Additional service (security)|Yes||
CommissionRule|CommType|Commission|AdditVoice|Voice subscription additional|Yes||
CommissionRule|CommType|Commission|BasicData|Data subscription basic|Yes||
CommissionRule|CommType|Commission|BasicHybrid|Hybrid subscription basic|Yes||
CommissionRule|CommType|Commission|BasicVoice|Voice subscription basic|Yes||
CommissionRule|CommType|Commission|ContractMgmt|Contract management|Yes||
CommissionRule|CommType|Commission|FixedTermContr|Fixed term contract|Yes||
CommissionRule|DeliveryType|Commission|Backorder|Backorder|Yes||
CommissionRule|DeliveryType|Commission|Direct|Direct delivery|Yes||
Contract|ContrType|Commission|1|Continuous|Yes||
Contract|ContrType|Commission|2|Fixed-term|Yes||
CoRule|BasisType|Commission|1|% from amount (value)|Yes||
CoRule|BasisType|Commission|2|% from ARPU|Yes||% from average revenue per user
CoRule|BasisType|Commission|3|Fixed amount per subscription|Yes||
CoRule|CommPoint|Commission|0|Order (subscr. activation)|Yes||
CoRule|CommPoint|Commission|1|Billing|Yes||
CoRule|CommPoint|Commission|2|Payment|Yes||
corule|coPrdType|Corule|A|All|Yes||
corule|coPrdType|Corule|G|Product Group|Yes||
corule|coPrdType|Corule|P|Product|Yes||
CoRule|RuleType|Commission|1|Template|Yes||
CoRule|RuleType|Commission|2|MGM Referee|Yes||
CoRule|RuleType|Commission|3|MGM Promoted|Yes||
corule|targType|Corule|C|Customer|Yes||
CoRule|TargType|CoRule|M|Subscription|Yes||
