Group|Parameter|Type|Value|Description
Reports|CustInvgCatUpdate|Char|/mnt/store/xfergw/Siirtokansio2/out/customer_changes_#RUNMODE_#DATAPERIODSTART_#DATAPERIODEND_#RUNDATE.csv|Output directory for Customer's InvGroup or Category Update report
Accounts|AllowedOPSources|Char|OPRF,OPAR,MP99,OPFIX|Allowed sources in OP maint
Accounts|DetUpfrontReportSpoolDir|Char|/apps/var/tmp/Remaining_Reilu_and_TOP_receivables_#DATE.csv|detailed upfront report tmp
Accounts|DetUpfrontReportTransfer|Char|/mnt/store/xfergw/Siirtokansio2/out|
Accounts|DetUpfrReportTransfDir|Char|/mnt/store/xfergw/Siirtokansio2/out|det upfront report trans dir
Accounts|OPDelayedReportFile|Char|/apps/var/tmp/Delayed_overpayments_by_customers_#DATE.csv|delayed op report tmp dir
Accounts|OPDelayedTransDir|Char|/mnt/store/xfergw/Siirtokansio2/out/|delayed op report trans dir
Accounts|OPDetailedReportFile|Char|/apps/var/tmp/Overpayment_balance_report_by_customers_#DATE.csv|op detailed report tmp dir
Accounts|OPDetailedTransDir|Char|/mnt/store/xfergw/Siirtokansio2/out/|detailed op report trans dir
Accounts|OwnUseCategory|Char|OWN|Customer category for own use (accounting rules)
Accounts|OwnUsePaymAcc|Int|90000050|Payment account for own use
Accounts|PostCollectionAccNum|Int|90000077|Post collection payment (bank) account
Accounts|RcldDevCompbalReportFile|Char|/apps/var/tmp/Recycle_device_compensation_remaining_balance_#DATE.csv|Recycled devices compensation report
Accounts|RcldDevCompbaTransDir|Char|/mnt/store/xfergw/Siirtokansio2/out|Recycled devices compensation transfer directory
Accounts|RoundPaymAcc|Int|90000099|Rounding account for INTRUM
Accounts|UpfrontRecCC|Char|1722|Cost centre, upfront receivabl
Accounts|UpfrontRecRID|Char||Reporting ID, upfront receivab
Accounts|UpfrontRevenueCC|Char|1160|Cost centre, upfront revenue
Accounts|UpfrontRevenueRID|Char|9475|Reporting ID, upfront revenue
Accounts|VipUseCategory|Char|xxx|Category for vip usage
Accounts|VipUsePaymAcc|Int|0|Payment account for vip usage
AccRec|AbolishAcc|Int|62626262|Abolish account, Intrum paym.
AccRec|AdvPaymAcc|Int|99999919|Adv.payment account
AccRec|AdvPaymVat|Int|6|VatCode to be used for AP VAT
