Menu level|Menu place|Menu number|Menu label|Function name|Function code|Function type|Module|Program Class|Deny usage|Token code
0|0|0||User file, update|users|1|Syst/ukayt.p|9999|no|SYST
0|0|0||UPDATE MENUTREE|menutree|1|Syst/uvaliv6.p|9999|no|SYST
0|0|0||Find a program module|find|1|Syst/usearch.p|9999|no|SYST
0|0|0||Update Program Classes|class|1|Syst/nnpcyp.p|9999|no|SYST
0|0|0||Update Users' rights|right|1|Syst/nnuryp.p|9999|no|SYST
0|0|0||Company parameters|cparam|1|Syst/cparam.p|9999|no|SYST
0|0|0||Invoice Sequences|invseq|1|Mc/invseq.p|9999|no|SYST
0|0|0|||tmsparam|1|Syst/cparam.p|9999|no|SYST
0|0|0|||orderf|1|Mc/orderfunction.p|9999|no|MAIN
0|0|9013| |Billing Tests|if-bt|1|Inv/billtest.p|9999|no|BILL
0|0|1994|DUMPFILE RUN|Create Dump File|run_df|1|Syst/dumpfile_ui.p|9999|no|SYST
0|0|1996|OFFER |Offer Maintenance|offer|1|Mc/offer_start.p|9999|no|VENDOR
0|0|0||Maintain menu texts|umenu|1|Syst/umenu.p|9999|no|SYST
0|0|984|LOCAL INVOICE|Print invoices on printer or file|if-pp|1|Inv/nnlaki.p|9999|no|VENDOR
0|0|1004|DIRECT DEBIT|Direct Debit Authorizations|cu-dd|2||9999|no|VENDOR
0|0|1023|MONTHLY STATUS|Monthly Status Report|mo-stat|1|Mc/monstatl.p|9999|no|SYST
0|0|0||Get cdrs|cdr-haku|1|Mm/mobcallbr_special.p|9999|no|MOB
0|1|1||TMS MASTER|-|2||9999|no|SYST
0|1|9001|ROAMING |Roaming functions|roam-|2||9999|no|VENDOR
0|2|9809|REQ STAT FUNCTION|Maintenance menu|maintm|1|Mc/maintmenu.p|9999|no|CCSUPER
0|3|9010|ROAM COUNTRY|Roaming country|ad-coun|1|Mm/roamcountry.p|9999|no|CCSUPER
0|4|9008|ROAM GROUP|Roaming groups|ad-grp|1|Mm/roamgroup.p|9999|no|CCSUPER
0|4|1825|INV STAT REPORT|STATUS REPORT|if-srep|1|Mm/billstat.p|9999|no|BILL
0|4|1456|XML MULTIRUN|XML Multirun|xmlmulti|1|Inv/invoice_xml_multi.p|9999|yes|VENDOR
0|5|570|CURRENCY RATES|Currency rates|ad-cura|1|Mc/currate.p|9999|no|CCSUPER
0|5|1166|BILLING MULTIRUN|Create Invoices In Multirun Mode|inv-mrun|1|Inv/invrun_multi.p|9999|no|SYST
0|7|804|INVOICE REPORT|Print invoices Specification|if-rep|1|Inv/invrep.p|9999|no|BILL
0|7|9009|ROAMING TARIFFS|Roaming Tariffs|ad-tar|1|Mm/roamtarifflistc.p|9999|no|CCSUPER
1|1|51|BASIC FILES|BASIC FILES|bf-|2||9999|no|SYST
1|2|788|CUSTOMER DATA|CUSTOMER DATA|cu-|2||9999|no|CC
1|3|260|MOBILE DATA|Mobile Subscriber Data|md-|2||9999|no|MOB
1|4|9000|ADMIN FUNCTION|ADMIN FUNCTIONS|admin|2||9999|no|CCSUPER
1|5|737|INVOIC- ING|INVOICING FUNCTIONS|if-|2||9999|no|SYST
1|6|820|ACCOUNTS REC'VBLE|ACCOUNTS RECEIVABLE|ar-|2||9999|no|SYST
1|7|728|SUPPORT FUNCTION|SUPPORT FUNCTIONS|su-|2||9999|no|MOB
1|8|3|QUIT |||3|**** SOVELLUKSEN LOPETUS ***|9999|no|MAIN
11|1|14|UPDATE FILES|UPDATE BASIC FILES|bf-upd|2||9999|no|CCSUPER
11|2|877|RATING DATA|RATING DATA|bf-rd|2||9999|no|MAIN
11|5|42|PRINT- OUTS|PRINTOUTS FROM BASIC FILES|bf-pr|2||9999|no|MAIN
11|7|1652|SALES |SALES DATA|sales|2||9999|no|MAIN
11|8|8|RETURN |||3||9999|no|MAIN
111|2|754|BILLING ITEMS|Products|bf-pro|2||9999|no|MAIN
111|3|750|CCN |CCNs|ccn|1|Mc/nnmayp.p|9999|no|MAIN
111|4|602|B- NUMBERS|B-sub/service number file|bf-bs|1|Mc/nnbtyp.p|9999|no|MAIN
111|6|814|TRANSL. NAMES|Foreign names for products etc.|bf-fn|1|Mc/invlangm.p|9999|no|MAIN
111|7|591|CURRENC- IES|Currencies|bf-curr|2||9999|no|CCSUPER
111|8|8|RETURN |||3||9999|no|MAIN
1112|1|754|BILLING ITEMS|Product file|bf-pd|1|Mc/nntuyp.p|9999|no|MAIN
1112|2|974|BITEM GROUPS|Product groups|bf-pg|1|Mc/nnpgyp.p|9999|no|MAIN
1112|3|1113|INVOICE SECTIONS|Invoice Sections, update|if-is|1|Mc/invsect.p|9999|no|MAIN
1112|4|999|TAX CODES|Update VAT codes|cu-vc|1|Mc/vatcode.p|9999|no|CC
1112|5|295|FEE MODEL|Billing Events|rf-be|1|Mc/bevent.p|9999|no|MAIN
1112|6|1869|BILLITEM RULES|Billing Item Rules|birule|1|Mc/billitemrule_run.p|9999|no|MAIN
1112|8|8|RETURN |||3||9999|no|MAIN
1117|1|592|CURRENCY CODES|Currencies (codes & names)|bf-cuco|1|Mc/nncuyp.p|9999|no|MAIN
1117|2|570|CURRENCY RATES|Currency Rates|cur-rate|1|Mc/currate.p|9999|no|MOB
1117|8|8|RETURN |||3||0|no|MAIN
112|1|51|BASIC FILES|Basic Data of Rating|rd-ba|2||9999|no|MAIN
112|2|1722|RATING PLANS|Rating plan|rd-rp|1|Mc/rateplan.p|9999|no|MAIN
112|3|234|DISCOUNT PLANS|DISCOUNT PLANS|rd-dp|1|Mc/discountplan.p|9999|no|MAIN
