Group|Table Name|Field Name|Description|Value|Used|Configuration Value|Memo
Accounts|account|AccType|Account Receivable|1|Yes||
Accounts|account|AccType|Reminder Fee|10|No ||
Accounts|account|AccType|Collection Fee|11|No ||
Accounts|account|AccType|Revenue (Common)|12|Yes||
Accounts|account|AccType|Sales Cost|13|No ||
Accounts|account|AccType|Interest|14|Yes||
Accounts|account|AccType|Clearing|15|No ||
Accounts|account|AccType|Direct Cost Account|16|No ||
Accounts|account|AccType|Report Account|17|No ||
Accounts|account|AccType|Doubtful A/R|18|Yes||
Accounts|account|AccType|Advance Payment|19|Yes||
Accounts|account|AccType|Investigation Account|2|No ||
Accounts|account|AccType|Top up balance|20|No ||
Accounts|account|AccType|Compensation|21|No ||
Accounts|account|AccType|Refund balance|22|No ||
Accounts|account|AccType|Customer relationship Costs|23|No ||
Accounts|account|AccType|Own usage costs|24|Yes||
Accounts|account|AccType|Unregistered Accounts receivable|3|No ||
Accounts|account|AccType|Accounts payable|30|Yes||
Accounts|account|AccType|Sales expenses|32|Yes||
Accounts|account|AccType|Payment|4|Yes||
Accounts|account|AccType|TAX|5|Yes||
Accounts|account|AccType|Overpayment|6|Yes||
Accounts|account|AccType|Deposit|7|No ||
Accounts|account|AccType|Rounding|8|Yes||
Accounts|account|AccType|Discounts|9|Yes||
Request|AckMessage|AckStatus|Waiting for sending|0|Yes||
Request|AckMessage|AckStatus|Sent|2|Yes||
Request|AckMessage|AckStatus|Error occurred|3|Yes||
Log|ActionLog|ActionStatus|Active|0|Yes||
Log|ActionLog|ActionStatus|Ended on error|1|Yes||
Log|ActionLog|ActionStatus|Ended succesfully|2|Yes||
Log|ActionLog|ActionStatus|Logged|3|Yes||
Log|ActionLog|ActionStatus|Cancelled|5|Yes||
Address|Address|AddressType|Default address|DEF|Yes||
Analysis|BDest|BDestClass|Normal|1|Yes||
Analysis|BDest|BDestClass|Free|2|Yes||
Analysis|BDest|BDestClass|Emergency|3|Yes||
Analysis|BDest|BDestClass|PremRate (Pre-rated)|4|Yes||
Analysis|BDest|BDestClass|PremRate with mpm|5|Yes||
Analysis|BDest|BDestClass|Premrate without mpm|6|Yes||
Analysis|Bdest|BdestClass|Tariff class -based rating|7|Yes||
Analysis|BDest|BDestClass|TMS rating class|99|Yes||
Analysis|Bdest|BdestType|National|0|Yes||
Analysis|Bdest|BdestType|International|1|Yes||
Analysis|BDest|BdestType|Freephone|2|Yes||
Analysis|Bdest|BdestType|Mobile|5|Yes||
Analysis|Bdest|BdestType|Not defined|?|Yes||
AR|BillItem|DebtType|3rd party additional services|ADD|Yes||
AR|BillItem|DebtType|Commissions|COM|Yes||
AR|BillItem|DebtType|Device charges|DEV|Yes||
AR|BillItem|DebtType|General charges|GEN|Yes||
AR|BillItem|DebtType|Security services|SEC|Yes||
AR|BillItem|DebtType|Value added service charges|SER|Yes||
AR|BillItem|DebtType|Subventions|SUB|Yes||
AR|BillItem|DebtType|Telecom service charges|TEL|Yes||
Report|BillItemRule|RuleType|Include to data usage summary|DataTotalUse|Yes||
Report|BillItemRule|RuleType|Event type charge as invoice row|ETCIR|Yes||
Report|BillItemRule|RuleType|Hide zero amount invoice row in specifications|HideZeroIR|Yes||
Report|BillItemRule|RuleType|Pulses as unit on invoice row|PulsesOnIR|Yes||
Report|BillItemRule|RuleType|Service charge as invoice row|ServChargeIR|Yes||
Report|BillItemRule|RuleType|Starting charge as invoice row|StartChargeIR|Yes||
SMS|CallAlarm|CreditType|CreditLimit for customer|1|Yes||
SMS|CallAlarm|CreditType|Periodical contract activation / termination|10|Yes||
SMS|CallAlarm|CreditType|Service change|11|Yes||
SMS|CallAlarm|CreditType|MNP|12|Yes||
SMS|CallAlarm|CreditType|Service attribute change|13|Yes||
SMS|CallAlarm|CreditType|Saldo payment|14|Yes||
SMS|CallAlarm|CreditType|User / inv.customer change|15|Yes||
SMS|CallAlarm|CreditType|User account change|16|Yes||
SMS|CallAlarm|CreditType|Periodical contract PIN order|17|Yes||
SMS|CallAlarm|CreditType|Periodical contract continuation|18|Yes||
SMS|CallAlarm|CreditType|Periodical contract period end warning|19|Yes||
SMS|CallAlarm|CreditType|Saldo reminder|2|Yes||
SMS|CallAlarm|CreditType|Owner change|20|Yes||
SMS|CallAlarm|CreditType|TOPUP|22|No ||
SMS|CallAlarm|CreditType|Price Guarantee|23|No ||
SMS|CallAlarm|CreditType|Barring|24|Yes|1|
SMS|CallAlarm|CreditType|SMS Report|25|Yes||
SMS|CallAlarm|CreditType|Additional data package|28|Yes||
SMS|CallAlarm|CreditType|Saldo Agreement|3|Yes||
SMS|CallAlarm|CreditType|Corporate Welcome SMS|40|Yes||
SMS|CallAlarm|CreditType|After Sales Order|41|Yes||
SMS|CallAlarm|CreditType|Prepaid MINCONS|42|Yes|8|
SMS|CallAlarm|CreditType|Logistics|43|Yes||
SMS|CallAlarm|CreditType|SMS invoice|44|Yes|3|
SMS|CallAlarm|CreditType|SMS reminder|5|Yes||
SMS|CallAlarm|CreditType|CLI type change|6|Yes||
SMS|CallAlarm|CreditType|Debt lock|66|Yes||
SMS|CallAlarm|CreditType|Invoice printed|7|Yes||
SMS|CallAlarm|CreditType|Invoice due date reminder|71|Yes||
SMS|CallAlarm|CreditType|Direct Debit|8|Yes||
SMS|CallAlarm|CreditType|Info|9|Yes||
SMS|CallAlarm|DeliStat|NEW|1|Yes||
SMS|CallAlarm|DeliStat|FAIL|2|Yes||
SMS|CallAlarm|DeliStat|Delivered OK|3|Yes||
SMS|CallAlarm|DeliStat|Cancelled|4|Yes||
SERVCHANGE|CallAlarm|MessageCategory|Service and Additional service|11|Yes||
CREDCONTROL|CallAlarm|MessageCategory|Credit Control|2|Yes||
DEBTCOLLECT|CallAlarm|MessageCategory|Debt ColDebt Collection|24|Yes||
BILLING|CallAlarm|MessageCategory|Billing|71,7,5|Yes||
INTERNAL|CallAlarm|MessageCategory|Internal messages|9|Yes||
DeliType|CallLimit|DeliType|SMS|1|Yes||
DeliType|CallLimit|DeliType|E-Mail|2|Yes||
delitype|CallLimit|Delitype|EPL-letter|3|Yes||
DeliType|CallLimit|DeliType|KKI|4|Yes||
DeliType|CallLimit|DeliType|BIX|5|Yes||
Campaign|CampRow|CRowType|PriceList|1|Yes||
Campaign|CampRow|CRowType|DiscPlan|2|Yes||
Campaign|CampRow|CRowType|Fatime|3|Yes||
Campaign|CampRow|CRowType|FeeModel|4|Yes||
Campaign|CampRow|CRowType|TopUp|5|Yes||
MobSub|CLIType|PayType|Not defined|0|No ||
MobSub|CLIType|PayType|Postpaid|1|Yes||
MobSub|CLIType|PayType|Prepaid|2|No ||
Profile|CliType|ServicePack|VOICE Postpaid|1|Yes||
Profile|CliType|ServicePack|Prepaid|2|No ||
Profile|CliType|ServicePack|Prepaid (no calls yet)|3|No ||
Profile|CliType|ServicePack|DATA Postpaid|4|Yes||
Profile|CliType|ServicePack|Profile 40|40|No ||
Commission|Commission|CommCalcType|Rate based calculation|Rate|Yes||
Commission|Commission|CommCalcType|Revenue based calculation|Revenue|Yes||
Commission|CommissionLog|RejectReason|No valid dealer class|COMR1|Yes||
Commission|CommissionLog|RejectReason|Unpaid debt|COMR10|Yes||
Commission|CommissionLog|RejectReason|Billed amount under limit|COMR11|Yes||
Commission|CommissionLog|RejectReason|No active rate|COMR12|Yes||
Commission|CommissionLog|RejectReason|No active contract|COMR2|Yes||
Commission|CommissionLog|RejectReason|Ongoing experiment period|COMR3|Yes||
Commission|CommissionLog|RejectReason|No active main contract|COMR4|Yes||
Commission|CommissionLog|RejectReason|Main contract activity period|COMR5|Yes||
Commission|CommissionLog|RejectReason|Suspended|COMR6|Yes||
Commission|CommissionLog|RejectReason|No active rule|COMR7|Yes||
Commission|CommissionLog|RejectReason|Basic commission rule not fulfilled|COMR8|Yes||
