Group|Parameter|Description|Type|Value
Reports|CustInvgCatUpdate|Output directory for Customer's InvGroup or Category Update report|Char|/mnt/store/xfergw/Siirtokansio2/out/customer_changes_#RUNMODE_#DATAPERIODSTART_#DATAPERIODEND_#RUNDATE.csv
Accounts|AllowedOPSources|Allowed sources in OP maint|Char|OPRF,OPAR,MP99,OPFIX
Accounts|DetUpfrontReportSpoolDir|detailed upfront report tmp|Char|/apps/var/tmp/Remaining_Reilu_and_TOP_receivables_#DATE.csv
Accounts|DetUpfrontReportTransfer||Char|/mnt/store/xfergw/Siirtokansio2/out
Accounts|DetUpfrReportTransfDir|det upfront report trans dir|Char|/mnt/store/xfergw/Siirtokansio2/out
Accounts|OPDelayedReportFile|delayed op report tmp dir|Char|/apps/var/tmp/Delayed_overpayments_by_customers_#DATE.csv
Accounts|OPDelayedTransDir|delayed op report trans dir|Char|/mnt/store/xfergw/Siirtokansio2/out/
Accounts|OPDetailedReportFile|op detailed report tmp dir|Char|/apps/var/tmp/Overpayment_balance_report_by_customers_#DATE.csv
Accounts|OPDetailedTransDir|detailed op report trans dir|Char|/mnt/store/xfergw/Siirtokansio2/out/
Accounts|OwnUseCategory|Customer category for own use (accounting rules)|Char|OWN
Accounts|OwnUsePaymAcc|Payment account for own use|Int|90000050
Accounts|PostCollectionAccNum|Post collection payment (bank) account|Int|90000077
Accounts|RcldDevCompbalReportFile|Recycled devices compensation report|Char|/apps/var/tmp/Recycle_device_compensation_remaining_balance_#DATE.csv
Accounts|RcldDevCompbaTransDir|Recycled devices compensation transfer directory|Char|/mnt/store/xfergw/Siirtokansio2/out
Accounts|RoundPaymAcc|Rounding account for INTRUM|Int|90000099
Accounts|UpfrontRecCC|Cost centre, upfront receivabl|Char|1722
Accounts|UpfrontRecRID|Reporting ID, upfront receivab|Char|
Accounts|UpfrontRevenueCC|Cost centre, upfront revenue|Char|1160
Accounts|UpfrontRevenueRID|Reporting ID, upfront revenue|Char|9475
Accounts|VipUseCategory|Category for vip usage|Char|xxx
Accounts|VipUsePaymAcc|Payment account for vip usage|Int|0
AccRec|AbolishAcc|Abolish account, Intrum paym.|Int|62626262
AccRec|AdvPaymAcc|Adv.payment account|Int|99999919
AccRec|AdvPaymVat|VatCode to be used for AP VAT|Int|6
AccRec|AdvPaymVatAcc|Assisting account for AP VAT|Int|99999955
AccRec|ARReportExcluded|Invoice types that are by default excluded from AR reports|Char|3,4,20,21,22,23,99
AccRec|AsterixCreatePaymIssue|Create jira issue after run|Int|1
AccRec|AsterixDarDescr|Text for payment error DAR issue|Char|T�m�n tiketin liitteen� on automaattisesti luotu listaus sis��nluvussa hylk��ntyneist� maksuista. Ohjaisitteko liitteen selvitett�v�ksi Intrum Justitialle oman tarkastuksenne j�lkeen.  Mik�li tapauksista her�� kysytt�v�� tai toimenpiteit� Qvantelille, t�m�n tiketin voi Jirassa ohjata takaisin k�ytt�j�lle Billing management.
AccRec|BankAcc|Bank account|Int|90000054
Accrec|BankBIC|BIC code|Char|
Accrec|BankIBAN|IBAN code|Char|NDEAFIHH
AccRec|CollectAcc|Account for collection paym.|Int|90000060
AccRec|CreditLossAcc|DefAcct: Credit loss account|Int|68900
AccRec|CreditLossCancel|Account for credit loss cancel|Int|68900
AccRec|CreditNoteTempAcc|Temporary payment based on credit note|Int|90000035
AccRec|CreditPassword|PassWd for partial credit tool|Char|TEST
AccRec|CreditPaymAcc|Account for credit payments|Int|90000050
AccRec|CreditRateFile|Location of credit rate file|Char|/mnt/store/app/blacklist/spool/rbs_blacklist_#TODAY.csv
AccRec|CRFileTransDir|Dest. of blacklist file|Char|/mnt/store/app/blacklist/in/
AccRec|DDCancelDays|Cancel days after due date|Int|30
AccRec|DiscAcc|Discount Account|Int|90000099
AccRec|DueDateTrans|Max days for due date transfer|Int|22
AccRec|ExchRateMet|Exchange rate usage (1=divide)|Int|1
AccRec|IntCalcMet|Interest Calculation Method|Int|1
AccRec|IntDelayComp|Delay days for company cust.|Int|0
AccRec|IntDelayPriv|Delay days for private cust.|Int|0
AccRec|IntLogFile|Log file name with tmp path to intrum related to err payments|Char|/apps/dna/var/tmp/rej_payms_#RUNDATE_#RUNTIME.csv
AccRec|IntLogFileTransDir|Log file name with tmp path to intrum related to err payments|Char|/mnt/store/intrum/failures/
AccRec|IntLogSummaryFile|Filename of Intlog summary|Char|/apps/dna/var/tmp/rej_payms_ALL_#RUNDATE_#RUNTIME.csv
AccRec|IntLogSummaryTransDir|Transdir of Intlog summary|Char|/mnt/store/intrum/failures
AccRec|IntrumCrlLogFile|Log of failed CRL updates|Char|/apps/dna/var/tmp/intrum_crl_upd_#DATE_#TIME.log
AccRec|IntrumCrlProcessedDir|Intrum CRL processed status file|Char|/mnt/store/rbs/intrum/in/processed
AccRec|IntrumCrlStatusFile|Intrum CRL status file|Char|/mnt/store/rbs/intrum/in/in/debtloss*
AccRec|IntrumPaymTransTypes|Allowed payment trans. types from intrum|Char|50,51,54,60,63,98,99
AccRec|InvTypeDenied|Deny showing of these types|Char|3,4
AccRec|LongTermUpfrontDir|Longter upfront change report dir|Char|/mnt/store/xfergw/Siirtokansio2/out/
AccRec|LongTermUpfrontFile|Longterm upfront change report|Char|/apps/var/tmp/Upfront_device_receivables_monthly_changes_#PERIOD_#TODAY_#NOW.csv
AccRec|LowValAcc|Senttierotili (low val round)|Int|68510
AccRec|MinIntPay|Minimum charged delay interest amount|Int|9999999
